observation_date,RGDPNAAUA666NRUG
1960-01-01,185281.281250
1961-01-01,187807.843750
1962-01-01,199598.484375
1963-01-01,213073.500000
1964-01-01,226548.468750
1965-01-01,231601.609375
1966-01-01,245918.812500
1967-01-01,258551.625000
1968-01-01,277079.750000
1969-01-01,297292.281250
1970-01-01,309082.875000
1971-01-01,321175.812500
1972-01-01,329570.468750
1973-01-01,343093.968750
1974-01-01,347725.406250
1975-01-01,356723.500000
1976-01-01,369556.375000
1977-01-01,372870.843750
1978-01-01,387947.843750
1979-01-01,399719.125000
1980-01-01,413060.812500
1981-01-01,426809.281250
1982-01-01,417332.125000
1983-01-01,436451.343750
1984-01-01,459362.125000
1985-01-01,477909.000000
1986-01-01,490101.281250
1987-01-01,518249.656250
1988-01-01,538260.187500
1989-01-01,557481.500000
1990-01-01,555263.687500
1991-01-01,557552.375000
1992-01-01,580021.250000
1993-01-01,603128.687500
1994-01-01,626275.250000
1995-01-01,650565.875000
1996-01-01,676370.812500
1997-01-01,707326.187500
1998-01-01,743213.062500
1999-01-01,772444.687500
2000-01-01,787359.500000
2001-01-01,818864.937500
2002-01-01,843315.687500
2003-01-01,877516.000000
2004-01-01,905633.937500
2005-01-01,930942.250000
2006-01-01,966729.750000
2007-01-01,1002092.312500
2008-01-01,1021502.750000
2009-01-01,1042621.500000
2010-01-01,1068298.625000
