observation_date,RGDPNAATA666NRUG
1960-01-01,98201.61718750
1961-01-01,103343.05468750
1962-01-01,105399.63281250
1963-01-01,110026.93750000
1964-01-01,116710.82031250
1965-01-01,119795.67187500
1966-01-01,126479.56250000
1967-01-01,130592.72656250
1968-01-01,136248.31250000
1969-01-01,144988.76562500
1970-01-01,155271.64062500
1971-01-01,163210.89062500
1972-01-01,173342.79687500
1973-01-01,181814.56250000
1974-01-01,188984.90625000
1975-01-01,188300.18750000
1976-01-01,196918.71875000
1977-01-01,206922.12500000
1978-01-01,206486.23437500
1979-01-01,217547.09375000
1980-01-01,221313.89062500
1981-01-01,220994.54687500
1982-01-01,225439.29687500
1983-01-01,232141.79687500
1984-01-01,232260.85937500
1985-01-01,238064.29687500
1986-01-01,243543.09375000
1987-01-01,246848.37500000
1988-01-01,254984.21875000
1989-01-01,264895.62500000
1990-01-01,276407.03125000
1991-01-01,285919.93750000
1992-01-01,291905.75000000
1993-01-01,293443.56250000
1994-01-01,300492.40625000
1995-01-01,308509.50000000
1996-01-01,315758.03125000
1997-01-01,322368.75000000
1998-01-01,333914.12500000
1999-01-01,345789.21875000
2000-01-01,357462.09375000
2001-01-01,361991.78125000
2002-01-01,367970.25000000
2003-01-01,371434.56250000
2004-01-01,381593.75000000
2005-01-01,390156.96875000
2006-01-01,403633.15625000
2007-01-01,418678.21875000
2008-01-01,424792.71875000
2009-01-01,408801.06250000
2010-01-01,416311.12500000
