observation_date,RGDPNACAA666NRUG
1960-01-01,310435.437500
1961-01-01,319221.343750
1962-01-01,341186.093750
1963-01-01,358757.906250
1964-01-01,382187.000000
1965-01-01,407080.406250
1966-01-01,434902.437500
1967-01-01,446616.968750
1968-01-01,470046.062500
1969-01-01,494939.468750
1970-01-01,508118.343750
1971-01-01,528291.937500
1972-01-01,557399.125000
1973-01-01,595501.500000
1974-01-01,615035.875000
1975-01-01,624023.000000
1976-01-01,660707.000000
1977-01-01,683423.125000
1978-01-01,708597.125000
1979-01-01,734894.312500
1980-01-01,750735.250000
1981-01-01,776816.750000
1982-01-01,752057.562500
1983-01-01,771621.125000
1984-01-01,817212.000000
1985-01-01,855926.562500
1986-01-01,874286.000000
1987-01-01,909895.312500
1988-01-01,950022.687500
1989-01-01,972034.500000
1990-01-01,973635.250000
1991-01-01,953324.312500
1992-01-01,961906.750000
1993-01-01,987501.687500
1994-01-01,1031884.625000
1995-01-01,1059683.250000
1996-01-01,1076841.500000
1997-01-01,1122930.625000
1998-01-01,1166681.750000
1999-01-01,1226916.500000
2000-01-01,1290441.875000
2001-01-01,1313540.375000
2002-01-01,1353183.625000
2003-01-01,1377561.500000
2004-01-01,1420086.625000
2005-01-01,1465589.000000
2006-01-01,1504197.125000
2007-01-01,1535361.500000
2008-01-01,1550780.875000
2009-01-01,1505405.625000
2010-01-01,1551921.625000
