observation_date,RGDPNACNA666NRUG
1960-01-01,689786.8750
1961-01-01,558305.3750
1962-01-01,591366.2500
1963-01-01,677432.8750
1964-01-01,771682.9375
1965-01-01,857507.2500
1966-01-01,885350.7500
1967-01-01,889345.4375
1968-01-01,865986.3750
1969-01-01,953460.2500
1970-01-01,1085341.1250
1971-01-01,1182455.7500
1972-01-01,1173581.8750
1973-01-01,1261324.3750
1974-01-01,1299351.2500
1975-01-01,1391712.0000
1976-01-01,1349881.8750
1977-01-01,1428767.0000
1978-01-01,1594763.1250
1979-01-01,1719783.1250
1980-01-01,1804728.6250
1981-01-01,1861601.1250
1982-01-01,2031704.8750
1983-01-01,2178264.7500
1984-01-01,2414971.0000
1985-01-01,2602347.2500
1986-01-01,2780601.0000
1987-01-01,3008488.0000
1988-01-01,3142030.0000
1989-01-01,3153668.7500
1990-01-01,3165272.0000
1991-01-01,3300483.7500
1992-01-01,3556377.7500
1993-01-01,3920962.7500
1994-01-01,4256331.0000
1995-01-01,4657186.5000
1996-01-01,4990733.0000
1997-01-01,5274995.0000
1998-01-01,5305999.5000
1999-01-01,5573186.0000
2000-01-01,5962253.0000
2001-01-01,6370915.0000
2002-01-01,6969823.0000
2003-01-01,7496914.0000
2004-01-01,8225812.5000
2005-01-01,9019761.0000
2006-01-01,9982318.0000
2007-01-01,10976751.0000
2008-01-01,11616248.0000
2009-01-01,12577917.0000
2010-01-01,13947309.0000
