observation_date,RGDPNADKA666NRUG
1960-01-01,75799.78906250
1961-01-01,80756.37500000
1962-01-01,85711.21875000
1963-01-01,86736.10156250
1964-01-01,94082.25781250
1965-01-01,97900.17187500
1966-01-01,101361.24218750
1967-01-01,107169.37500000
1968-01-01,113164.85937500
1969-01-01,120471.86718750
1970-01-01,122345.46093750
1971-01-01,126021.97656250
1972-01-01,130973.81250000
1973-01-01,136334.46875000
1974-01-01,134804.23437500
1975-01-01,132840.75000000
1976-01-01,140711.01562500
1977-01-01,143342.71875000
1978-01-01,146533.96875000
1979-01-01,152203.43750000
1980-01-01,151468.31250000
1981-01-01,150459.32812500
1982-01-01,156003.23437500
1983-01-01,160053.17187500
1984-01-01,166721.21875000
1985-01-01,173396.23437500
1986-01-01,181900.00000000
1987-01-01,182362.45312500
1988-01-01,182337.60937500
1989-01-01,183514.06250000
1990-01-01,186221.34375000
1991-01-01,188816.62500000
1992-01-01,192511.79687500
1993-01-01,192532.32812500
1994-01-01,202799.00000000
1995-01-01,208939.01562500
1996-01-01,214998.37500000
1997-01-01,222009.23437500
1998-01-01,226933.73437500
1999-01-01,233623.76562500
2000-01-01,242377.43750000
2001-01-01,244372.56250000
2002-01-01,245512.17187500
2003-01-01,246469.84375000
2004-01-01,253046.15625000
2005-01-01,258958.98437500
2006-01-01,269092.00000000
2007-01-01,271538.71875000
2008-01-01,270148.37500000
2009-01-01,256893.48437500
2010-01-01,261699.93750000
