observation_date,RGDPNAFIA666NRUG
1960-01-01,47812.882812500
1961-01-01,51449.109375000
1962-01-01,52983.199218750
1963-01-01,54723.644531250
1964-01-01,57825.824218750
1965-01-01,60660.433593750
1966-01-01,62361.187500000
1967-01-01,63495.027343750
1968-01-01,64628.867187500
1969-01-01,70864.984375000
1970-01-01,76534.187500000
1971-01-01,78338.039062500
1972-01-01,84397.867187500
1973-01-01,90292.070312500
1974-01-01,93214.406250000
1975-01-01,94896.828125000
1976-01-01,95223.632812500
1977-01-01,95451.710937500
1978-01-01,98238.617187500
1979-01-01,105235.093750000
1980-01-01,110906.273437500
1981-01-01,112365.656250000
1982-01-01,115858.085937500
1983-01-01,119468.898437500
1984-01-01,123336.929687500
1985-01-01,127714.031250000
1986-01-01,131233.359375000
1987-01-01,135924.734375000
1988-01-01,143016.109375000
1989-01-01,150291.562500000
1990-01-01,151298.937500000
1991-01-01,142392.984375000
1992-01-01,137701.609375000
1993-01-01,136790.031250000
1994-01-01,142211.093750000
1995-01-01,148207.937500000
1996-01-01,153642.984375000
1997-01-01,163374.421875000
1998-01-01,172290.062500000
1999-01-01,179835.640625000
2000-01-01,190218.203125000
2001-01-01,195182.937500000
2002-01-01,198515.000000000
2003-01-01,202492.796875000
2004-01-01,210576.515625000
2005-01-01,216430.218750000
2006-01-01,225146.750000000
2007-01-01,237078.031250000
2008-01-01,238936.718750000
2009-01-01,219643.906250000
2010-01-01,226641.656250000
