observation_date,RGDPNAFRA666NRUG
1960-01-01,592031.31250
1961-01-01,622269.50000
1962-01-01,663648.00000
1963-01-01,706618.00000
1964-01-01,752771.00000
1965-01-01,789375.06250
1966-01-01,830753.56250
1967-01-01,872132.18750
1968-01-01,910327.68750
1969-01-01,975578.50000
1970-01-01,1036054.81250
1971-01-01,1091138.87500
1972-01-01,1140364.12500
1973-01-01,1212715.50000
1974-01-01,1264873.50000
1975-01-01,1252732.12500
1976-01-01,1307310.75000
1977-01-01,1352599.87500
1978-01-01,1406413.75000
1979-01-01,1456341.37500
1980-01-01,1479333.25000
1981-01-01,1495147.62500
1982-01-01,1532607.00000
1983-01-01,1551624.62500
1984-01-01,1575111.87500
1985-01-01,1600672.37500
1986-01-01,1638084.62500
1987-01-01,1680050.62500
1988-01-01,1759737.87500
1989-01-01,1836178.62500
1990-01-01,1889867.12500
1991-01-01,1909676.25000
1992-01-01,1940218.50000
1993-01-01,1928021.00000
1994-01-01,1973490.37500
1995-01-01,2015065.75000
1996-01-01,2043538.62500
1997-01-01,2091281.75000
1998-01-01,2166330.50000
1999-01-01,2240449.00000
2000-01-01,2328356.75000
2001-01-01,2374544.75000
2002-01-01,2401508.50000
2003-01-01,2421277.00000
2004-01-01,2489792.75000
2005-01-01,2531203.75000
2006-01-01,2593201.00000
2007-01-01,2656079.25000
2008-01-01,2662850.75000
2009-01-01,2586338.75000
2010-01-01,2636758.00000
