observation_date,RGDPNADEA666NRUG
1960-01-01,1092642.2500
1961-01-01,1147274.2500
1962-01-01,1201906.3750
1963-01-01,1234685.6250
1964-01-01,1311170.6250
1965-01-01,1387655.5000
1966-01-01,1420434.7500
1967-01-01,1420435.0000
1968-01-01,1496919.7500
1969-01-01,1606184.1250
1970-01-01,1682669.1250
1971-01-01,1735382.0000
1972-01-01,1810009.3750
1973-01-01,1896482.2500
1974-01-01,1913362.2500
1975-01-01,1896778.5000
1976-01-01,1990655.0000
1977-01-01,2057286.5000
1978-01-01,2119179.7500
1979-01-01,2207133.5000
1980-01-01,2238228.2500
1981-01-01,2250074.0000
1982-01-01,2241189.5000
1983-01-01,2276430.5000
1984-01-01,2340692.7500
1985-01-01,2395182.7500
1986-01-01,2449968.5000
1987-01-01,2484320.7500
1988-01-01,2576420.2500
1989-01-01,2676812.0000
1990-01-01,2817478.5000
1991-01-01,2961403.0000
1992-01-01,3018352.7500
1993-01-01,2988868.0000
1994-01-01,3060358.5000
1995-01-01,3107615.0000
1996-01-01,3132656.7500
1997-01-01,3188799.0000
1998-01-01,3253019.5000
1999-01-01,3314412.2500
2000-01-01,3410944.5000
2001-01-01,3468298.7500
2002-01-01,3461432.5000
2003-01-01,3437198.5000
2004-01-01,3477588.2500
2005-01-01,3503034.0000
2006-01-01,3636725.2500
2007-01-01,3744970.7500
2008-01-01,3780918.0000
2009-01-01,3565638.5000
2010-01-01,3714678.5000
