observation_date,RGDPNAHKA666NRUG
1960-01-01,13218.2900390625
1961-01-01,13974.1357421875
1962-01-01,15952.9130859375
1963-01-01,18531.7441406250
1964-01-01,20076.0546875000
1965-01-01,22993.0878906250
1966-01-01,23336.2695312500
1967-01-01,23679.4492187500
1968-01-01,24537.4023437500
1969-01-01,27282.8437500000
1970-01-01,29856.6972656250
1971-01-01,32034.1503906250
1972-01-01,35433.5156250000
1973-01-01,39784.5820312500
1974-01-01,40745.4140625000
1975-01-01,40945.8867187500
1976-01-01,47564.3906250000
1977-01-01,53141.6054687500
1978-01-01,57531.5781250000
1979-01-01,64180.3828125000
1980-01-01,70667.8750000000
1981-01-01,77212.2734375000
1982-01-01,79489.8906250000
1983-01-01,84240.9921875000
1984-01-01,92643.0078125000
1985-01-01,93344.3359375000
1986-01-01,103664.5781250000
1987-01-01,117554.0859375000
1988-01-01,127559.7890625000
1989-01-01,130464.2500000000
1990-01-01,135461.7343750000
1991-01-01,143185.6875000000
1992-01-01,152113.1875000000
1993-01-01,161546.0312500000
1994-01-01,171296.9843750000
1995-01-01,175363.2812500000
1996-01-01,182831.1875000000
1997-01-01,192155.1406250000
1998-01-01,180851.3125000000
1999-01-01,185384.7343750000
2000-01-01,199591.8281250000
2001-01-01,200711.1718750000
2002-01-01,204036.4375000000
2003-01-01,210272.3906250000
2004-01-01,228566.0312500000
2005-01-01,245453.0156250000
2006-01-01,262714.9062500000
2007-01-01,279699.0312500000
2008-01-01,285650.7500000000
2009-01-01,278626.3750000000
2010-01-01,297482.9375000000
