observation_date,RGDPNAIDA666NRUG
1960-01-01,147538.921875
1961-01-01,159648.609375
1962-01-01,159406.125000
1963-01-01,153244.640625
1964-01-01,160370.234375
1965-01-01,162256.953125
1966-01-01,166785.046875
1967-01-01,169049.109375
1968-01-01,180746.703125
1969-01-01,181878.734375
1970-01-01,195463.015625
1971-01-01,209155.250000
1972-01-01,228844.890625
1973-01-01,254720.531250
1974-01-01,274183.875000
1975-01-01,287838.375000
1976-01-01,307641.156250
1977-01-01,334610.687500
1978-01-01,360863.531250
1979-01-01,383419.875000
1980-01-01,421290.343750
1981-01-01,454709.937500
1982-01-01,464894.218750
1983-01-01,505689.156250
1984-01-01,540959.625000
1985-01-01,554282.125000
1986-01-01,586849.062500
1987-01-01,615754.687500
1988-01-01,651344.437500
1989-01-01,710516.625000
1990-01-01,774478.125000
1991-01-01,843623.250000
1992-01-01,904537.000000
1993-01-01,970148.875000
1994-01-01,1043297.750000
1995-01-01,1129058.375000
1996-01-01,1217328.375000
1997-01-01,1274538.375000
1998-01-01,1107235.750000
1999-01-01,1115993.625000
2000-01-01,1170903.125000
2001-01-01,1213564.625000
2002-01-01,1268168.625000
2003-01-01,1328791.750000
2004-01-01,1395641.625000
2005-01-01,1475089.500000
2006-01-01,1556233.625000
2007-01-01,1654976.750000
2008-01-01,1754502.375000
2009-01-01,1835716.000000
2010-01-01,1949968.250000
