observation_date,RGDPNAITA666NRUG
1960-01-01,586620.43750
1961-01-01,635370.00000
1962-01-01,674369.75000
1963-01-01,711744.43750
1964-01-01,731244.25000
1965-01-01,755619.12500
1966-01-01,801118.75000
1967-01-01,857993.31250
1968-01-01,914867.93750
1969-01-01,970117.43750
1970-01-01,1091991.50000
1971-01-01,1111845.12500
1972-01-01,1152877.62500
1973-01-01,1235030.12500
1974-01-01,1302958.37500
1975-01-01,1275724.62500
1976-01-01,1366624.87500
1977-01-01,1401617.25000
1978-01-01,1447031.62500
1979-01-01,1533262.50000
1980-01-01,1585853.62500
1981-01-01,1599241.87500
1982-01-01,1605856.25000
1983-01-01,1624631.87500
1984-01-01,1677040.00000
1985-01-01,1723965.00000
1986-01-01,1773270.00000
1987-01-01,1829872.00000
1988-01-01,1906623.75000
1989-01-01,1971227.50000
1990-01-01,2011688.62500
1991-01-01,2042542.62500
1992-01-01,2058330.37500
1993-01-01,2040047.87500
1994-01-01,2083947.37500
1995-01-01,2142860.00000
1996-01-01,2170005.25000
1997-01-01,2209721.00000
1998-01-01,2249730.75000
1999-01-01,2286305.00000
2000-01-01,2372886.25000
2001-01-01,2419190.25000
2002-01-01,2425333.50000
2003-01-01,2428695.75000
2004-01-01,2463270.50000
2005-01-01,2483416.50000
2006-01-01,2527885.50000
2007-01-01,2565477.00000
2008-01-01,2540796.50000
2009-01-01,2406618.75000
2010-01-01,2447851.25000
