observation_date,RGDPNAJPA666NRUG
1960-01-01,609689.93750
1961-01-01,681957.37500
1962-01-01,740583.06250
1963-01-01,805660.87500
1964-01-01,895779.37500
1965-01-01,946597.12500
1966-01-01,1043608.37500
1967-01-01,1159281.12500
1968-01-01,1297339.12500
1969-01-01,1452412.00000
1970-01-01,1601754.12500
1971-01-01,1677020.37500
1972-01-01,1818117.37500
1973-01-01,1964159.37500
1974-01-01,1940093.62500
1975-01-01,2000073.12500
1976-01-01,2079575.75000
1977-01-01,2170876.25000
1978-01-01,2285323.50000
1979-01-01,2410651.75000
1980-01-01,2478574.00000
1981-01-01,2582905.50000
1982-01-01,2668463.00000
1983-01-01,2762474.25000
1984-01-01,2886840.50000
1985-01-01,3037920.00000
1986-01-01,3138977.25000
1987-01-01,3287471.75000
1988-01-01,3510527.50000
1989-01-01,3681070.00000
1990-01-01,3861174.75000
1991-01-01,3993129.75000
1992-01-01,4026994.25000
1993-01-01,4006137.75000
1994-01-01,4045921.50000
1995-01-01,4156866.50000
1996-01-01,4285729.00000
1997-01-01,4331845.50000
1998-01-01,4282964.00000
1999-01-01,4272173.00000
2000-01-01,4390924.00000
2001-01-01,4408766.00000
2002-01-01,4413968.00000
2003-01-01,4481423.00000
2004-01-01,4580224.50000
2005-01-01,4656378.50000
2006-01-01,4722499.50000
2007-01-01,4800618.50000
2008-01-01,4748122.00000
2009-01-01,4490944.00000
2010-01-01,4679192.50000
