observation_date,RGDPNAKRA666NRUG
1960-01-01,40605.222656250
1961-01-01,42436.441406250
1962-01-01,43422.457031250
1963-01-01,46805.886718750
1964-01-01,50504.910156250
1965-01-01,53033.914062500
1966-01-01,59084.425781250
1967-01-01,62375.585937500
1968-01-01,69001.648437500
1969-01-01,78887.695312500
1970-01-01,85524.226562500
1971-01-01,94543.195312500
1972-01-01,101363.890625000
1973-01-01,116465.406250000
1974-01-01,127543.390625000
1975-01-01,137542.718750000
1976-01-01,155727.859375000
1977-01-01,174938.406250000
1978-01-01,194099.406250000
1979-01-01,210930.187500000
1980-01-01,207458.937500000
1981-01-01,222491.796875000
1982-01-01,241043.312500000
1983-01-01,273285.718750000
1984-01-01,302121.843750000
1985-01-01,325804.750000000
1986-01-01,362709.468750000
1987-01-01,408859.531250000
1988-01-01,457872.437500000
1989-01-01,490257.312500000
1990-01-01,538682.687500000
1991-01-01,596742.250000000
1992-01-01,633732.187500000
1993-01-01,677316.937500000
1994-01-01,740095.125000000
1995-01-01,811252.062500000
1996-01-01,875265.562500000
1997-01-01,929274.312500000
1998-01-01,881607.687500000
1999-01-01,982701.125000000
2000-01-01,1071742.000000000
2001-01-01,1123747.250000000
2002-01-01,1210558.250000000
2003-01-01,1248658.125000000
2004-01-01,1313555.625000000
2005-01-01,1370150.875000000
2006-01-01,1442280.125000000
2007-01-01,1525925.750000000
2008-01-01,1571901.750000000
2009-01-01,1584362.125000000
2010-01-01,1692175.250000000
