observation_date,RGDPNAMYA666NRUG
1960-01-01,21268.904296875
1961-01-01,22818.064453125
1962-01-01,24217.863281250
1963-01-01,25823.464843750
1964-01-01,27113.496093750
1965-01-01,29113.712890625
1966-01-01,31198.158203125
1967-01-01,32279.753906250
1968-01-01,34632.039062500
1969-01-01,36377.917968750
1970-01-01,38493.421875000
1971-01-01,47320.585937500
1972-01-01,51763.250000000
1973-01-01,57820.113281250
1974-01-01,62629.972656250
1975-01-01,63131.679687500
1976-01-01,70431.906250000
1977-01-01,75892.539062500
1978-01-01,80942.351562500
1979-01-01,88509.726562500
1980-01-01,95098.593750000
1981-01-01,101700.296875000
1982-01-01,107776.421875000
1983-01-01,114476.398437500
1984-01-01,123361.968750000
1985-01-01,122035.226562500
1986-01-01,123381.203125000
1987-01-01,130032.031250000
1988-01-01,141472.843750000
1989-01-01,154460.453125000
1990-01-01,168376.796875000
1991-01-01,184449.140625000
1992-01-01,200837.671875000
1993-01-01,220710.437500000
1994-01-01,241042.375000000
1995-01-01,264734.656250000
1996-01-01,291215.250000000
1997-01-01,312540.218750000
1998-01-01,289539.062500000
1999-01-01,307309.843750000
2000-01-01,334534.031250000
2001-01-01,336265.812500000
2002-01-01,354393.875000000
2003-01-01,374907.937500000
2004-01-01,400339.593750000
2005-01-01,421686.250000000
2006-01-01,445236.812500000
2007-01-01,473281.343750000
2008-01-01,496149.187500000
2009-01-01,488639.812500000
2010-01-01,524920.562500000
