observation_date,RGDPNAMXA666NRUG
1960-01-01,274371.687500
1961-01-01,282179.687500
1962-01-01,293219.656250
1963-01-01,321440.156250
1964-01-01,365391.562500
1965-01-01,385779.625000
1966-01-01,409665.062500
1967-01-01,432915.218750
1968-01-01,472157.906250
1969-01-01,489397.906250
1970-01-01,521773.625000
1971-01-01,543538.937500
1972-01-01,589673.750000
1973-01-01,639259.875000
1974-01-01,678323.500000
1975-01-01,716384.812500
1976-01-01,746750.687500
1977-01-01,772459.687500
1978-01-01,836186.125000
1979-01-01,912737.000000
1980-01-01,988714.187500
1981-01-01,1075662.125000
1982-01-01,1068056.375000
1983-01-01,1022174.312500
1984-01-01,1058968.125000
1985-01-01,1088325.625000
1986-01-01,1047470.687500
1987-01-01,1066909.125000
1988-01-01,1080196.875000
1989-01-01,1125546.625000
1990-01-01,1182592.750000
1991-01-01,1232524.875000
1992-01-01,1277248.875000
1993-01-01,1322641.250000
1994-01-01,1387994.000000
1995-01-01,1300672.000000
1996-01-01,1388770.000000
1997-01-01,1483857.000000
1998-01-01,1560482.375000
1999-01-01,1603451.000000
2000-01-01,1682700.875000
2001-01-01,1675896.125000
2002-01-01,1675228.375000
2003-01-01,1699458.625000
2004-01-01,1766087.375000
2005-01-01,1806845.375000
2006-01-01,1888064.500000
2007-01-01,1931328.375000
2008-01-01,1953414.625000
2009-01-01,1850162.250000
2010-01-01,1944855.750000
