observation_date,RGDPNANLA666NRUG
1960-01-01,183961.343750
1961-01-01,189456.296875
1962-01-01,197969.656250
1963-01-01,204727.250000
1964-01-01,223992.062500
1965-01-01,236526.375000
1966-01-01,243338.171875
1967-01-01,256956.296875
1968-01-01,275408.250000
1969-01-01,295507.625000
1970-01-01,314628.718750
1971-01-01,328254.593750
1972-01-01,336482.343750
1973-01-01,355945.406250
1974-01-01,371094.187500
1975-01-01,371550.687500
1976-01-01,389339.250000
1977-01-01,396819.531250
1978-01-01,406068.406250
1979-01-01,414278.781250
1980-01-01,427747.000000
1981-01-01,424395.125000
1982-01-01,419129.437500
1983-01-01,427805.218750
1984-01-01,440903.218750
1985-01-01,452279.312500
1986-01-01,464884.250000
1987-01-01,473862.343750
1988-01-01,490168.968750
1989-01-01,511835.656250
1990-01-01,533246.375000
1991-01-01,546252.500000
1992-01-01,555572.000000
1993-01-01,562558.937500
1994-01-01,579216.812500
1995-01-01,597265.000000
1996-01-01,618161.812500
1997-01-01,644922.375000
1998-01-01,675001.000000
1999-01-01,708980.875000
2000-01-01,738727.187500
2001-01-01,755917.062500
2002-01-01,757559.437500
2003-01-01,758738.562500
2004-01-01,773799.125000
2005-01-01,789668.750000
2006-01-01,816999.125000
2007-01-01,847823.187500
2008-01-01,866223.687500
2009-01-01,834460.312500
2010-01-01,845664.937500
