observation_date,RGDPNANZA666NRUG
1960-01-01,40998.097656250
1961-01-01,43147.710937500
1962-01-01,44046.316406250
1963-01-01,46848.296875000
1964-01-01,49278.437500000
1965-01-01,52702.531250000
1966-01-01,56024.710937500
1967-01-01,53026.945312500
1968-01-01,52844.324218750
1969-01-01,58026.613281250
1970-01-01,57770.957031250
1971-01-01,59957.851562500
1972-01-01,63027.164062500
1973-01-01,67943.453125000
1974-01-01,72015.609375000
1975-01-01,70768.523437500
1976-01-01,71425.828125000
1977-01-01,68614.273437500
1978-01-01,68832.507812500
1979-01-01,70341.179687500
1980-01-01,71244.562500000
1981-01-01,74560.765625000
1982-01-01,75254.265625000
1983-01-01,77882.273437500
1984-01-01,81615.171875000
1985-01-01,82932.984375000
1986-01-01,85176.992187500
1987-01-01,81504.914062500
1988-01-01,83138.296875000
1989-01-01,83575.539062500
1990-01-01,84118.484375000
1991-01-01,82736.796875000
1992-01-01,83784.656250000
1993-01-01,89258.171875000
1994-01-01,93914.218750000
1995-01-01,98212.875000000
1996-01-01,101510.828125000
1997-01-01,104564.671875000
1998-01-01,105679.445312500
1999-01-01,111168.164062500
2000-01-01,113713.281250000
2001-01-01,118031.718750000
2002-01-01,124004.820312500
2003-01-01,129634.976562500
2004-01-01,133873.562500000
2005-01-01,138316.703125000
2006-01-01,141875.468750000
2007-01-01,147210.578125000
2008-01-01,144935.406250000
2009-01-01,147712.453125000
2010-01-01,149133.687500000
