observation_date,RGDPNANOA666NRUG
1960-01-01,63278.40625000
1961-01-01,67248.07812500
1962-01-01,69140.39062500
1963-01-01,71757.39062500
1964-01-01,75352.18750000
1965-01-01,79334.99218750
1966-01-01,82338.82031250
1967-01-01,87490.43750000
1968-01-01,89466.32812500
1969-01-01,93496.88281250
1970-01-01,95365.31250000
1971-01-01,100774.82812500
1972-01-01,106146.75000000
1973-01-01,110958.30468750
1974-01-01,115311.21093750
1975-01-01,121021.59375000
1976-01-01,128071.57812500
1977-01-01,133400.31250000
1978-01-01,138562.09375000
1979-01-01,144620.68750000
1980-01-01,151222.09375000
1981-01-01,153639.04687500
1982-01-01,154000.65625000
1983-01-01,160118.78125000
1984-01-01,169809.81250000
1985-01-01,179239.96875000
1986-01-01,186485.31250000
1987-01-01,189755.14062500
1988-01-01,189270.60937500
1989-01-01,191235.79687500
1990-01-01,194931.28125000
1991-01-01,200944.35937500
1992-01-01,208126.89062500
1993-01-01,214048.78125000
1994-01-01,224869.85937500
1995-01-01,234214.29687500
1996-01-01,245990.48437500
1997-01-01,258990.07812500
1998-01-01,265787.06250000
1999-01-01,271137.00000000
2000-01-01,279826.87500000
2001-01-01,285632.71875000
2002-01-01,289763.68750000
2003-01-01,292400.87500000
2004-01-01,304007.43750000
2005-01-01,311989.06250000
2006-01-01,319476.12500000
2007-01-01,329042.03125000
2008-01-01,330609.53125000
2009-01-01,324899.84375000
2010-01-01,327180.09375000
