observation_date,RGDPNAPHA666NRUG
1960-01-01,75788.26562500
1961-01-01,80078.17187500
1962-01-01,84010.58593750
1963-01-01,89730.44531250
1964-01-01,92947.88281250
1965-01-01,97952.76562500
1966-01-01,102242.66406250
1967-01-01,107605.03906250
1968-01-01,112967.41406250
1969-01-01,118329.79687500
1970-01-01,122619.69531250
1971-01-01,129276.25781250
1972-01-01,136318.00000000
1973-01-01,148476.23437500
1974-01-01,153760.32812500
1975-01-01,162318.53125000
1976-01-01,176610.68750000
1977-01-01,186504.95312500
1978-01-01,196150.85937500
1979-01-01,207214.62500000
1980-01-01,217883.54687500
1981-01-01,225342.26562500
1982-01-01,233498.14062500
1983-01-01,237875.34375000
1984-01-01,220454.09375000
1985-01-01,204346.37500000
1986-01-01,211328.45312500
1987-01-01,220440.18750000
1988-01-01,235325.48437500
1989-01-01,249928.17187500
1990-01-01,257518.40625000
1991-01-01,256029.07812500
1992-01-01,256893.45312500
1993-01-01,262330.09375000
1994-01-01,273840.15625000
1995-01-01,286652.31250000
1996-01-01,303409.62500000
1997-01-01,319142.53125000
1998-01-01,317301.93750000
1999-01-01,327080.93750000
2000-01-01,341509.21875000
2001-01-01,351392.43750000
2002-01-01,364203.84375000
2003-01-01,382306.15625000
2004-01-01,407911.56250000
2005-01-01,427400.21875000
2006-01-01,449808.62500000
2007-01-01,479570.93750000
2008-01-01,499486.37500000
2009-01-01,505222.12500000
2010-01-01,543782.06250000
