observation_date,RGDPNASGA666NRUG
1960-01-01,8494.6650390625
1961-01-01,9172.7646484375
1962-01-01,9811.8769531250
1963-01-01,10786.9375000000
1964-01-01,10372.3818359375
1965-01-01,11148.7089843750
1966-01-01,12349.0859375000
1967-01-01,13858.5751953125
1968-01-01,15737.6855468750
1969-01-01,17874.6425781250
1970-01-01,20325.9023437500
1971-01-01,22849.1113281250
1972-01-01,25891.5937500000
1973-01-01,28636.7851562500
1974-01-01,30388.6660156250
1975-01-01,31598.6484375000
1976-01-01,33948.6992187500
1977-01-01,36275.0976562500
1978-01-01,39096.3164062500
1979-01-01,42831.6523437500
1980-01-01,47163.3046875000
1981-01-01,52264.5507812500
1982-01-01,55976.4414062500
1983-01-01,60765.0039062500
1984-01-01,66107.6953125000
1985-01-01,65695.9453125000
1986-01-01,66578.1562500000
1987-01-01,73767.1171875000
1988-01-01,82076.0625000000
1989-01-01,90413.8359375000
1990-01-01,99293.4296875000
1991-01-01,105934.6796875000
1992-01-01,112968.4062500000
1993-01-01,125917.7187500000
1994-01-01,139891.6250000000
1995-01-01,149965.0937500000
1996-01-01,161169.5625000000
1997-01-01,174578.7343750000
1998-01-01,170746.0625000000
1999-01-01,180519.5781250000
2000-01-01,196837.0156250000
2001-01-01,194732.7968750000
2002-01-01,202355.8281250000
2003-01-01,211534.2500000000
2004-01-01,232306.0312500000
2005-01-01,249401.5156250000
2006-01-01,271860.4687500000
2007-01-01,296388.0937500000
2008-01-01,301925.3437500000
2009-01-01,302290.6250000000
2010-01-01,346200.2812500000
