observation_date,RGDPNACHA666NRUG
1960-01-01,180308.1093750
1961-01-01,194927.6718750
1962-01-01,204264.0312500
1963-01-01,214231.2031250
1964-01-01,225491.5937500
1965-01-01,232667.3281250
1966-01-01,238392.1562500
1967-01-01,245678.2968750
1968-01-01,254494.1875000
1969-01-01,268829.8750000
1970-01-01,285972.8125000
1971-01-01,297627.4687500
1972-01-01,307153.0312500
1973-01-01,316520.9375000
1974-01-01,321126.0312500
1975-01-01,297737.8437500
1976-01-01,293558.5937500
1977-01-01,300702.7500000
1978-01-01,301932.8750000
1979-01-01,309455.5937500
1980-01-01,323696.6562500
1981-01-01,328880.1250000
1982-01-01,324573.7187500
1983-01-01,326648.0000000
1984-01-01,336475.0625000
1985-01-01,348835.7812500
1986-01-01,355319.3750000
1987-01-01,360952.9062500
1988-01-01,372783.4687500
1989-01-01,388927.9375000
1990-01-01,403219.5937500
1991-01-01,399526.8437500
1992-01-01,399352.1250000
1993-01-01,398849.0000000
1994-01-01,403913.4062500
1995-01-01,405855.6875000
1996-01-01,407860.2500000
1997-01-01,417115.2812500
1998-01-01,429901.2500000
1999-01-01,437405.3437500
2000-01-01,454798.3437500
2001-01-01,461965.1562500
2002-01-01,461939.6875000
2003-01-01,461723.3125000
2004-01-01,474750.9687500
2005-01-01,488436.3437500
2006-01-01,508047.0625000
2007-01-01,528347.2500000
2008-01-01,542905.8750000
2009-01-01,531615.4375000
2010-01-01,548989.1875000
