observation_date,RGDPNATWA666NRUG
1960-01-01,19255.3750000000
1961-01-01,20612.4218750000
1962-01-01,22452.5410156250
1963-01-01,24863.8398437500
1964-01-01,28004.0781250000
1965-01-01,31332.7226562500
1966-01-01,34349.9101562500
1967-01-01,38181.0195312500
1968-01-01,41889.1914062500
1969-01-01,45906.7070312500
1970-01-01,51189.9218750000
1971-01-01,58062.5546875000
1972-01-01,66117.4375000000
1973-01-01,74601.5312500000
1974-01-01,76590.4609375000
1975-01-01,81328.8437500000
1976-01-01,92944.5703125000
1977-01-01,103547.2421875000
1978-01-01,117583.9375000000
1979-01-01,127970.8515625000
1980-01-01,138258.1250000000
1981-01-01,148074.4531250000
1982-01-01,155197.0781250000
1983-01-01,169200.9375000000
1984-01-01,186203.7812500000
1985-01-01,195155.2187500000
1986-01-01,217621.4843750000
1987-01-01,245370.0468750000
1988-01-01,265058.0937500000
1989-01-01,288176.2812500000
1990-01-01,304144.2500000000
1991-01-01,329606.5625000000
1992-01-01,356997.5625000000
1993-01-01,381323.2500000000
1994-01-01,409933.5312500000
1995-01-01,436573.2187500000
1996-01-01,463538.7812500000
1997-01-01,491589.0312500000
1998-01-01,512259.5000000000
1999-01-01,546744.9375000000
2000-01-01,581268.4375000000
2001-01-01,573121.8125000000
2002-01-01,604536.7500000000
2003-01-01,630076.2500000000
2004-01-01,673876.8750000000
2005-01-01,710154.4375000000
2006-01-01,751134.5625000000
2007-01-01,802591.5000000000
2008-01-01,809005.0625000000
2009-01-01,795956.1250000000
2010-01-01,877505.3125000000
