observation_date,RGDPNATHA666NRUG
1960-01-01,33348.660156250
1961-01-01,35109.210937500
1962-01-01,37942.734375000
1963-01-01,41114.097656250
1964-01-01,43831.046875000
1965-01-01,47277.199218750
1966-01-01,53048.335937500
1967-01-01,57179.667968750
1968-01-01,61857.015625000
1969-01-01,67210.031250000
1970-01-01,92785.523437500
1971-01-01,97389.812500000
1972-01-01,101356.445312500
1973-01-01,111349.890625000
1974-01-01,116197.328125000
1975-01-01,121828.445312500
1976-01-01,133250.375000000
1977-01-01,146440.500000000
1978-01-01,161727.171875000
1979-01-01,170320.140625000
1980-01-01,178469.734375000
1981-01-01,189011.703125000
1982-01-01,199128.250000000
1983-01-01,210247.984375000
1984-01-01,222342.359375000
1985-01-01,232675.140625000
1986-01-01,245550.984375000
1987-01-01,268924.843750000
1988-01-01,304659.906250000
1989-01-01,341808.843750000
1990-01-01,379896.093750000
1991-01-01,411888.843750000
1992-01-01,449990.187500000
1993-01-01,489105.281250000
1994-01-01,528219.437500000
1995-01-01,571112.250000000
1996-01-01,603391.375000000
1997-01-01,586776.437500000
1998-01-01,541982.000000000
1999-01-01,566762.812500000
2000-01-01,592014.000000000
2001-01-01,612404.062500000
2002-01-01,650060.875000000
2003-01-01,696795.125000000
2004-01-01,740619.125000000
2005-01-01,771633.625000000
2006-01-01,809966.812500000
2007-01-01,853989.875000000
2008-01-01,868727.062500000
2009-01-01,862727.625000000
2010-01-01,927547.562500000
