observation_date,RGDPNAGBA666NRUG
1960-01-01,782240.3125
1961-01-01,799091.5625
1962-01-01,813156.3125
1963-01-01,844606.6875
1964-01-01,892023.1875
1965-01-01,912767.8750
1966-01-01,930549.1250
1967-01-01,951293.8125
1968-01-01,1019455.0000
1969-01-01,1010564.4375
1970-01-01,1031309.1875
1971-01-01,1067454.5000
1972-01-01,1113585.3750
1973-01-01,1186234.8750
1974-01-01,1156763.2500
1975-01-01,1139717.1250
1976-01-01,1172885.8750
1977-01-01,1201712.0000
1978-01-01,1252235.5000
1979-01-01,1299181.6250
1980-01-01,1272791.0000
1981-01-01,1262765.0000
1982-01-01,1287955.1250
1983-01-01,1342331.7500
1984-01-01,1372789.2500
1985-01-01,1429725.2500
1986-01-01,1474767.1250
1987-01-01,1554296.2500
1988-01-01,1643395.0000
1989-01-01,1685755.0000
1990-01-01,1698124.8750
1991-01-01,1679392.8750
1992-01-01,1686127.7500
1993-01-01,1728109.6250
1994-01-01,1794573.6250
1995-01-01,1840006.1250
1996-01-01,1885852.0000
1997-01-01,1979678.6250
1998-01-01,2053080.6250
1999-01-01,2120733.5000
2000-01-01,2195091.2500
2001-01-01,2255024.5000
2002-01-01,2304155.7500
2003-01-01,2380697.2500
2004-01-01,2435126.5000
2005-01-01,2507101.2500
2006-01-01,2574637.7500
2007-01-01,2635414.0000
2008-01-01,2628067.0000
2009-01-01,2519949.5000
2010-01-01,2572214.7500
