observation_date,RGDPNAUSA666NRUG
1960-01-01,3510944.75
1961-01-01,3600618.75
1962-01-01,3820850.25
1963-01-01,3987209.75
1964-01-01,4217154.50
1965-01-01,4491258.00
1966-01-01,4787384.50
1967-01-01,4918733.50
1968-01-01,5160197.50
1969-01-01,5322265.50
1970-01-01,5332994.50
1971-01-01,5508630.00
1972-01-01,5798322.50
1973-01-01,6125680.00
1974-01-01,6092568.00
1975-01-01,6080049.50
1976-01-01,6407651.00
1977-01-01,6703951.50
1978-01-01,7075035.50
1979-01-01,7299041.00
1980-01-01,7280300.50
1981-01-01,7465054.50
1982-01-01,7330469.00
1983-01-01,7666492.50
1984-01-01,8221287.50
1985-01-01,8564087.00
1986-01-01,8860631.00
1987-01-01,9167170.00
1988-01-01,9550089.00
1989-01-01,9900830.00
1990-01-01,10087555.00
1991-01-01,10076635.00
1992-01-01,10431579.00
1993-01-01,10718744.00
1994-01-01,11150584.00
1995-01-01,11449898.00
1996-01-01,11881846.00
1997-01-01,12410257.00
1998-01-01,12966412.00
1999-01-01,13582736.00
2000-01-01,14143361.00
2001-01-01,14284560.00
2002-01-01,14533353.00
2003-01-01,14949183.00
2004-01-01,15517086.00
2005-01-01,16062235.00
2006-01-01,16520807.00
2007-01-01,16830766.00
2008-01-01,16807780.00
2009-01-01,16381405.00
2010-01-01,16801388.00
